mã ngành,mã mục,nội dung
VI,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Kỹ thuật máy tính (tên tiếng Anh: Computer Engineering), có mã số ngành là 7480106. Chương trình này được thiết kế với thời gian đào tạo chuẩn là 4,5 năm, và sinh viên sau khi hoàn thành sẽ được cấp danh hiệu Kỹ sư. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Kỹ sư ngành Kỹ thuật máy tính"" và bằng tiếng Anh là ""The Degree of Engineer in Computer Engineering""."
VI,2,"2. Mục tiêu của chương trình đào tạo
Chương trình đào tạo kỹ sư ngành Kỹ thuật máy tính nhằm mục tiêu trang bị cho sinh viên một nền tảng kiến thức vững chắc và kỹ năng chuyên môn cao, bao quát cả hai lĩnh vực quan trọng là phần cứng và phần mềm máy tính. Sinh viên tốt nghiệp được kỳ vọng sẽ có khả năng tự học và tự nghiên cứu khoa học một cách hiệu quả, giúp họ liên tục thích ứng với những thay đổi nhanh chóng và không ngừng trong lĩnh vực công nghệ, đồng thời sở hữu phẩm chất đạo đức tốt và ý thức trách nhiệm cao với xã hội. Về mục tiêu cụ thể, chương trình hướng đến việc sinh viên có hiểu biết sâu rộng về khoa học cơ bản để dễ dàng tiếp nhận kiến thức mới và duy trì tinh thần học tập suốt đời (PO1); có khả năng áp dụng kiến thức chuyên sâu cùng kinh nghiệm thực tế để giải quyết các vấn đề công việc phức tạp trong lĩnh vực Kỹ thuật máy tính (PO2). Bên cạnh đó, sinh viên sẽ được rèn luyện các kỹ năng thiết yếu như giao tiếp hiệu quả, làm việc nhóm năng động, phát hiện và giải quyết vấn đề một cách sáng tạo, cùng với tư duy phản biện sắc bén (PO3); đạt trình độ ngoại ngữ và công nghệ thông tin tốt, sẵn sàng cho quá trình hội nhập quốc tế trong công việc và nghiên cứu (PO4); và cuối cùng là có phẩm chất đạo đức tốt, thể hiện mức độ tự chủ cao và tinh thần trách nhiệm với cộng đồng và xã hội (PO5)."
VI,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Kỹ sư Kỹ thuật máy tính được thực hiện theo đúng các Quy chế và Quy định về công tác tuyển sinh đại học được ban hành hàng năm của Bộ Giáo dục và Đào tạo. Quá trình này cũng tuân thủ chặt chẽ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và nội dung chi tiết trong Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố chính thức mỗi năm."
VI,4,"4. Chuẩn đầu ra của chương trình
Sau khi tốt nghiệp chương trình đào tạo Kỹ sư Kỹ thuật máy tính, người học phải đạt được các yêu cầu năng lực tối thiểu một cách toàn diện. Về kiến thức (PLO1-4), sinh viên cần diễn giải được kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, thể chất và quốc phòng; vận dụng được kiến thức cơ bản của Toán học, khoa học cơ bản, và Công nghệ Thông tin để giải quyết các bài toán liên quan đến lĩnh vực kỹ thuật; sử dụng các kiến thức cơ sở của khối ngành để nhận định và phân tích các bài toán liên quan đến lĩnh vực Kỹ thuật máy tính; và kết hợp các kiến thức chuyên sâu về điện tử và khoa học máy tính trong bối cảnh vận động không ngừng của khoa học và công nghệ để thiết kế, xây dựng, triển khai và vận hành một cách hiệu quả các thiết bị yêu cầu sự tích hợp chặt chẽ giữa phần cứng với phần mềm. Về kỹ năng (PLO5-9), sinh viên phải có khả năng phát hiện, mô tả, phản biện vấn đề và đề xuất giải pháp về lĩnh vực chuyên môn; thiết kế, thực thi, thử nghiệm giải pháp, phân tích dữ liệu và kết quả, đánh giá kỹ thuật để rút ra kết luận; giao tiếp hiệu quả với nhiều đối tượng, lập kế hoạch, điều phối, quản lý nhóm làm việc hiệu quả; có tư duy logic, biện chứng để giải quyết vấn đề thực tế một cách hiệu quả và sáng tạo; và vận dụng được kiến thức cơ bản về tiếng Anh tương đương trình độ 3/6 theo Khung năng lực ngoại ngữ 6 bậc dùng cho Việt Nam. Về mức tự chủ và trách nhiệm (PLO10-11), sinh viên cần có ý thức đóng góp tạo ra những sản phẩm có giá trị phục vụ cộng đồng và phát triển lĩnh vực chuyên môn; có tinh thần tự học, tự nghiên cứu, hỗ trợ đồng nghiệp, tự định hướng và đưa ra kết luận chuyên môn, bảo vệ được quan điểm cá nhân; đồng thời chủ động tuân thủ pháp luật, đạo đức nghề nghiệp, có tính trung thực và chịu trách nhiệm cá nhân."
VI,5,"5. Vị trí việc làm mà sinh viên có thể đảm nhiệm sau khi tốt nghiệp
Kỹ sư tốt nghiệp ngành Kỹ thuật máy tính có nhiều lựa chọn nghề nghiệp đa dạng, phù hợp với nền tảng kiến thức và kỹ năng được đào tạo, đặc biệt là khả năng làm việc với cả phần cứng và phần mềm. Các vị trí công việc tiêu biểu bao gồm kỹ sư thiết kế, kinh doanh, vận hành, khai thác hoặc tư vấn các sản phẩm trong các lĩnh vực liên quan đến Kỹ thuật máy tính như thiết kế và chế tạo phần cứng, lập trình nhúng, phát triển ứng dụng cho Internet of Things (IoT), và xây dựng các hệ thống thông minh. Sinh viên cũng có thể đảm nhận vai trò quản lý dự án hoặc trở thành doanh nhân công nghệ trong các lĩnh vực liên quan đến Kỹ thuật máy tính. Một hướng đi khác là tham gia vào công tác giảng dạy với vai trò giảng viên hoặc trợ giảng tại các trường Cao đẳng và Đại học, hoặc trở thành nghiên cứu viên tại các Trung tâm và Viện nghiên cứu chuyên sâu về Kỹ thuật máy tính và các lĩnh vực liên quan."
VI,6,"6. Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp
Sau khi hoàn thành chương trình và nhận bằng Kỹ sư Kỹ thuật máy tính, các tân kỹ sư có nền tảng vững chắc và nhiều cơ hội rộng mở để tiếp tục con đường học tập, nghiên cứu và nâng cao trình độ chuyên môn. Họ hoàn toàn có thể theo học các chương trình đào tạo sau đại học, bao gồm các chương trình Thạc sĩ và Tiến sĩ, tại các cơ sở đào tạo uy tín trong nước và quốc tế, với các chuyên ngành đa dạng và có liên quan như Kỹ thuật máy tính, Công nghệ thông tin, Kỹ thuật điện tử, Kỹ thuật viễn thông, Kỹ thuật Robot, Kỹ thuật Cơ điện tử, Kỹ thuật điều khiển và tự động hóa."
VI,7,"7. Tóm tắt yêu cầu chương trình đào tạo (Khối lượng kiến thức)
Chương trình đào tạo Kỹ sư Kỹ thuật máy tính có tổng cộng 150 tín chỉ chuyên môn, không bao gồm các học phần điều kiện tốt nghiệp quan trọng như Giáo dục thể chất, Giáo dục Quốc phòng – An ninh và Kỹ năng bổ trợ. Cấu trúc tín chỉ của chương trình được phân bổ thành các khối kiến thức chính: Khối kiến thức chung chiếm 21 tín chỉ, tập trung cung cấp nền tảng về lý luận chính trị, pháp luật, ngoại ngữ và tin học cơ bản; tiếp đó là Khối kiến thức theo lĩnh vực với 19 tín chỉ, củng cố kiến thức toán, lý và giới thiệu kỹ năng lập trình đầu tiên. Khối kiến thức theo khối ngành gồm 10 tín chỉ, bao gồm các môn học cơ sở ngành kỹ thuật. Khối kiến thức theo nhóm ngành với 31 tín chỉ sẽ trang bị các kiến thức cốt lõi và nền tảng đặc thù của ngành Kỹ thuật máy tính, bao gồm các học phần về điện tử và hệ thống số. Phần kiến thức chuyên sâu và quan trọng nhất là Khối kiến thức ngành, với tổng cộng 69 tín chỉ; trong đó, khối này bao gồm 38 tín chỉ dành cho các học phần bắt buộc, trang bị kiến thức chuyên sâu về cả phần cứng và phần mềm; 12 tín chỉ dành cho các học phần lựa chọn theo các định hướng chuyên sâu như Thiết kế vi mạch, Các hệ thống tính toán thông minh, hoặc Công nghệ IoT; và 06 tín chỉ được dành cho các học phần bổ trợ. Cuối cùng, chương trình dành 13 tín chỉ cho Khóa luận tốt nghiệp hoặc các học phần thay thế tương đương, bao gồm cả thực tập ngành."
VII,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Kỹ thuật robot (tên tiếng Anh: Robotics Engineering), một ngành đào tạo thí điểm với mã số là 7520217. Chương trình này có thời gian đào tạo chuẩn là 4,5 năm, và sinh viên sau khi hoàn thành sẽ được cấp danh hiệu Kỹ sư. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Kỹ sư ngành Kỹ thuật Robot"" và bằng tiếng Anh là ""The Degree of Engineer in Robotics Engineering""."
VII,2,"2. Mục tiêu của chương trình đào tạo
Chương trình đào tạo Kỹ sư ngành Kỹ thuật Robot đặt mục tiêu chung là đào tạo ra những kỹ sư có nền tảng căn bản vững chắc về khoa học và công nghệ liên quan đến robot, đồng thời sở hữu năng lực chuyên môn cao. Sinh viên tốt nghiệp được kỳ vọng sẽ có khả năng làm việc hiệu quả tại các doanh nghiệp hoạt động trong lĩnh vực công nghệ, công nghiệp, dịch vụ, cũng như trong các cơ sở đào tạo, các tổ chức chính phủ và phi chính phủ, hoặc có thể tiếp tục con đường học tập và nghiên cứu để nâng cao trình độ chuyên môn trong ngành Kỹ thuật Robot. Về mục tiêu cụ thể, chương trình hướng đến việc sinh viên có phẩm chất chính trị và đạo đức tốt, ý thức phục vụ cộng đồng và sức khỏe đáp ứng yêu cầu xây dựng và bảo vệ tổ quốc (PO1); vận dụng thành thạo các kiến thức cơ bản về toán và các kiến thức chuyên ngành Kỹ thuật Robot bao gồm cơ khí, lập trình điều khiển, xử lý tín hiệu, và thiết kế hệ thống, cùng với các kỹ năng cần thiết để giải quyết các vấn đề thực tế liên quan đến Robot (PO2). Bên cạnh đó, sinh viên sẽ có khả năng tổng hợp và phân tích các vấn đề về kỹ thuật Robot, sử dụng thành thạo các công cụ phần mềm và phần cứng có liên quan trong lĩnh vực để vận hành, thiết kế, phát triển và chế tạo sản phẩm robot (PO3); và cuối cùng là có khả năng làm việc hiệu quả trong môi trường nhóm, có khả năng đọc hiểu và giao tiếp tốt bằng tiếng Anh, cũng như có ý thức đóng góp vào việc tạo ra những giá trị thiết thực phục vụ cộng đồng (PO4)."
VII,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Kỹ sư Kỹ thuật Robot được thực hiện theo đúng các Quy chế và Quy định về công tác tuyển sinh đại học được ban hành hàng năm của Bộ Giáo dục và Đào tạo. Quá trình này cũng tuân thủ chặt chẽ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và nội dung chi tiết trong Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố chính thức mỗi năm."
VII,4,"4. Chuẩn đầu ra của chương trình
Sau khi tốt nghiệp chương trình đào tạo Kỹ sư Kỹ thuật Robot, người học phải đạt được các yêu cầu năng lực tối thiểu một cách toàn diện. Về kiến thức (PLO1-5), sinh viên cần diễn giải được kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, thể chất và quốc phòng; vận dụng được kiến thức cơ bản về khoa học cơ bản và Công nghệ Thông tin (CNTT) để giải quyết các bài toán liên quan đến lĩnh vực kỹ thuật; sử dụng các kiến thức cơ sở của khối ngành để nhận định và phân tích các bài toán liên quan đến ngành Kỹ thuật Robot; vận dụng được các kiến thức về điện, điện tử, tự động hóa, lập trình điều khiển, và an toàn công nghiệp để phục vụ yêu cầu thực tế trong các hệ thống Robot thông minh, tự động hoá trong công nghiệp và Robot phân tán; và phân tích được các vấn đề cơ bản với một hệ thống Robot bao gồm các vấn đề về cảm nhận, xử lý và thực thi. Về kỹ năng (PLO6-10), sinh viên phải vận dụng được kiến thức cơ bản về tiếng Anh tương đương trình độ 3/6 Khung năng lực ngoại ngữ Việt Nam; phát hiện, mô tả, phản biện vấn đề và đề xuất giải pháp về lĩnh vực chuyên môn; thiết kế, thực thi/thí nghiệm giải pháp, phân tích dữ liệu và kết quả, đánh giá kỹ thuật để rút ra kết luận; giao tiếp hiệu quả với nhiều đối tượng, lập kế hoạch, điều phối, quản lý nhóm làm việc hiệu quả; và vận dụng tư duy logic, biện chứng để giải quyết vấn đề thực tế hiệu quả và sáng tạo. Về mức tự chủ và trách nhiệm (PLO11-12), sinh viên cần thể hiện ý thức đóng góp tạo ra những sản phẩm có giá trị phục vụ cộng đồng và phát triển lĩnh vực chuyên môn; đồng thời chủ động tuân thủ pháp luật, đạo đức nghề nghiệp, thể hiện tính trung thực, chịu trách nhiệm cá nhân, tinh thần tự học, tự nghiên cứu, hỗ trợ đồng nghiệp, tự định hướng và đưa ra kết luận chuyên môn, cũng như bảo vệ được quan điểm cá nhân."
VII,5,"5. Vị trí việc làm mà sinh viên có thể đảm nhiệm sau khi tốt nghiệp
Kỹ sư tốt nghiệp ngành Kỹ thuật Robot có nhiều cơ hội nghề nghiệp trong các lĩnh vực đa dạng, được chia thành các nhóm chính. Nhóm 1 là các vị trí kỹ sư kỹ thuật, thiết kế, quản lý nhóm hoặc dự án, có năng lực làm việc tại các cơ sở nghiên cứu, thiết kế, các tổ chức, doanh nghiệp, khu công nghiệp liên quan đến robot, điều khiển và tự động hóa, điện, điện tử – truyền thông, và công nghệ thông tin; họ có thể tham gia vào việc thiết kế, chế tạo robot, thiết kế và vận hành các dây chuyền sản xuất tự động, tay máy robot cả về phần cứng lẫn phần mềm, và các hệ thống nhúng. Nhóm 2 bao gồm các chuyên viên phân tích và tư vấn, có khả năng làm việc tại các công ty tư vấn, doanh nghiệp, các bộ và sở, ban, ngành, đảm nhận công việc tư vấn sản phẩm công nghệ, thiết kế phát triển sản phẩm mẫu, và có thể trở thành chuyên gia phân tích, tư vấn kỹ thuật và công nghệ. Nhóm 3 là các nhà nghiên cứu và giảng viên, có khả năng nghiên cứu khoa học và giảng dạy trong các cơ sở giáo dục đại học, các cơ sở nghiên cứu, tham gia vào việc nghiên cứu các vấn đề liên quan đến robot, điều khiển và tự động hóa, cũng như phát triển các sản phẩm và công nghệ mới."
VII,6,"6. Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp
Sau khi hoàn thành chương trình và nhận bằng Kỹ sư Kỹ thuật Robot, các tân kỹ sư có nền tảng vững chắc và nhiều cơ hội rộng mở để tiếp tục con đường học tập, nghiên cứu và nâng cao trình độ chuyên môn. Họ hoàn toàn có thể theo học các chương trình đào tạo sau đại học, bao gồm các chương trình Thạc sĩ và Tiến sĩ, tại các cơ sở đào tạo uy tín trong nước và quốc tế, với các chuyên ngành đa dạng và có liên quan như Kỹ thuật Robot, Kỹ thuật điện tử, Kỹ thuật viễn thông, Kỹ thuật cơ điện tử, và Kỹ thuật điều khiển và tự động hóa."
VII,7,"7. Tóm tắt yêu cầu chương trình đào tạo (Khối lượng kiến thức)
Chương trình đào tạo Kỹ sư Kỹ thuật Robot có tổng cộng 150 tín chỉ chuyên môn, không bao gồm các học phần điều kiện tốt nghiệp quan trọng như Giáo dục thể chất, Giáo dục Quốc phòng – An ninh và Kỹ năng bổ trợ. Cấu trúc tín chỉ của chương trình được phân bổ thành các khối kiến thức chính: Khối kiến thức chung chiếm 21 tín chỉ, tập trung cung cấp nền tảng về lý luận chính trị, pháp luật, ngoại ngữ và tin học cơ bản; tiếp đó là Khối kiến thức theo lĩnh vực với 19 tín chỉ, củng cố kiến thức toán, lý và giới thiệu kỹ năng lập trình đầu tiên. Khối kiến thức theo khối ngành gồm 10 tín chỉ, bao gồm các môn học cơ sở ngành kỹ thuật. Khối kiến thức theo nhóm ngành với 31 tín chỉ sẽ trang bị các kiến thức cốt lõi và nền tảng đặc thù của ngành Kỹ thuật Robot, bao gồm các học phần về điện tử, điều khiển, cơ khí và toán ứng dụng. Phần kiến thức chuyên sâu và quan trọng nhất là Khối kiến thức ngành, với tổng cộng 69 tín chỉ; trong đó, khối này bao gồm 38 tín chỉ dành cho các học phần bắt buộc, trang bị kiến thức chuyên sâu về động học, điều khiển robot, cảm biến, thị giác máy và trí tuệ nhân tạo cho robot; 12 tín chỉ dành cho các học phần lựa chọn theo các định hướng chuyên sâu như tự động hóa trong công nghiệp hoặc các hệ thống robot thông minh; và 06 tín chỉ được dành cho các học phần bổ trợ. Cuối cùng, chương trình dành 13 tín chỉ cho khối kiến thức thực tập và tốt nghiệp, bao gồm thực tập ngành và hoàn thành Đồ án tốt nghiệp hoặc các học phần thay thế tương đương."
VIII,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Công nghệ kỹ thuật cơ điện tử (tên tiếng Anh: Mechatronics Engineering), có mã số ngành là 7510203. Chương trình này được thiết kế với thời gian đào tạo chuẩn là 4 năm, và sinh viên sau khi hoàn thành sẽ được cấp danh hiệu Cử nhân. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Cử nhân ngành Công nghệ kỹ thuật cơ điện tử"" và bằng tiếng Anh là ""The Degree of Bachelor in Mechatronics Engineering""."
VIII,2,"2. Mục tiêu của chương trình đào tạo
Chương trình đào tạo Cử nhân ngành Công nghệ Kỹ thuật Cơ điện tử đặt mục tiêu chung là đào tạo ra những cử nhân theo định hướng kỹ sư, sở hữu kiến thức chuyên môn toàn diện và các kỹ năng thực hành cơ bản vững chắc. Sinh viên tốt nghiệp được kỳ vọng sẽ có khả năng làm việc độc lập, sáng tạo và năng lực giải quyết hiệu quả những vấn đề phức tạp thuộc ngành Công nghệ kỹ thuật Cơ điện tử. Về mục tiêu cụ thể, chương trình hướng đến việc sinh viên có khả năng vận dụng kiến thức và kỹ năng đã học vào nghề nghiệp để giải quyết các vấn đề phức tạp và đề xuất giải pháp hiệu quả (PO1); hình thành năng lực tự học, tự nghiên cứu để nâng cao trình độ chuyên môn, phù hợp với môi trường làm việc năng động và có thể tiếp tục học ở trình độ cao hơn (PO2). Bên cạnh đó, sinh viên sẽ thể hiện khả năng làm việc độc lập cũng như kỹ năng giao tiếp và làm việc nhóm trong môi trường áp lực cao (PO3); có trình độ ngoại ngữ và công nghệ thông tin tốt, sẵn sàng cho hội nhập quốc tế (PO4); và cuối cùng là thể hiện được hành vi, thái độ, tác phong làm việc chuyên nghiệp, có đạo đức nghề nghiệp, trách nhiệm xã hội và tuân thủ pháp luật (PO5)."
VIII,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Cử nhân ngành Công nghệ kỹ thuật cơ điện tử được thực hiện theo đúng các Quy chế và Quy định về công tác tuyển sinh đại học được ban hành hàng năm của Bộ Giáo dục và Đào tạo. Quá trình này cũng tuân thủ chặt chẽ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và nội dung chi tiết trong Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố chính thức mỗi năm."
VIII,4,"4. Chuẩn đầu ra của chương trình
Sau khi tốt nghiệp chương trình đào tạo Cử nhân ngành Công nghệ kỹ thuật cơ điện tử, người học phải đạt được các yêu cầu năng lực tối thiểu một cách toàn diện. Về kiến thức (PLO1-7), sinh viên cần diễn giải được kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, thể chất và quốc phòng; vận dụng được kiến thức cơ bản của Toán học, khoa học cơ bản, và Công nghệ Thông tin để giải quyết các bài toán kỹ thuật; sử dụng các kiến thức cơ bản của ngành để nhận định và phân tích các bài toán liên quan đến lĩnh vực kỹ thuật cơ điện tử; vận dụng kiến thức cơ sở của nhóm ngành, đặc biệt là kiến thức kỹ thuật cơ điện tử vào các tình huống thực tế. Thêm vào đó, sinh viên phải sử dụng các kiến thức chuyên sâu để xác định và đề xuất giải pháp, lựa chọn phương pháp thích hợp để nghiên cứu và giải quyết vấn đề thực tế nhằm cải thiện hiệu năng hệ thống cơ điện tử; phân tích các vấn đề về kỹ thuật cơ điện tử và tiến hành các thử nghiệm để đưa ra đánh giá và kết luận; cũng như vận dụng tư duy phản biện và sáng tạo trong nghiên cứu và phát triển để xây dựng giải pháp cho các bài toán trong lĩnh vực. Về kỹ năng (PLO8-11), sinh viên phải có trình độ tiếng Anh tương đương bậc 3 theo Khung năng lực ngoại ngữ 6 bậc; phát hiện, mô tả vấn đề và đề xuất giải pháp về lĩnh vực kỹ thuật điều khiển và tự động hóa; thiết kế, thực thi/thí nghiệm giải pháp, phân tích dữ liệu và kết quả, đánh giá kỹ thuật để rút ra kết luận; và có kỹ năng giao tiếp hiệu quả, lập kế hoạch, điều phối, quản lý nhóm hiệu quả với tư duy logic, biện chứng. Về mức tự chủ và trách nhiệm (PLO12-14), sinh viên cần có khả năng làm việc độc lập hoặc theo nhóm trong điều kiện thay đổi hoặc áp lực cao, có khả năng cung cấp và tiếp thu hướng dẫn rõ ràng, chịu trách nhiệm cá nhân và nhóm; tự định hướng, lập kế hoạch, quản lý nguồn lực, đánh giá và cải thiện hiệu quả hoạt động chuyên môn; và chủ động tuân thủ pháp luật, đạo đức nghề nghiệp, thể hiện tính trung thực, chịu trách nhiệm cá nhân, tinh thần tự học, tự nghiên cứu, và hỗ trợ đồng nghiệp."
VIII,5,"5. Những vị trí công tác sinh viên có thể đảm nhiệm sau khi tốt nghiệp
Cử nhân tốt nghiệp ngành Công nghệ kỹ thuật cơ điện tử có thể lựa chọn nhiều hướng phát triển nghề nghiệp đa dạng. Nhóm 1 bao gồm các vị trí kỹ sư phụ trách công tác kỹ thuật, thiết kế, hoặc quản lý dự án, có năng lực làm việc tại các cơ sở nghiên cứu, doanh nghiệp sản xuất và kinh doanh liên quan đến Công nghệ Kỹ thuật Cơ điện tử và Tự động hóa. Nhóm 2 là các chuyên viên phân tích, tư vấn và kinh doanh, có khả năng làm việc tại các công ty và tổ chức tư vấn doanh nghiệp, các Bộ, Sở, Ban, Ngành, đảm nhận công việc như phụ trách dịch vụ sau bán hàng, phát triển mẫu mã sản phẩm, với triển vọng trở thành chuyên gia phân tích, tư vấn, hoặc lãnh đạo doanh nghiệp. Nhóm 3 hướng đến vai trò nghiên cứu viên và giảng viên, có khả năng nghiên cứu và giảng dạy trong các cơ sở giáo dục đại học, các viện nghiên cứu, tham gia vào việc nghiên cứu các vấn đề liên quan đến công nghệ cơ điện tử, phát triển sản phẩm và công nghệ mới, với tiềm năng trở thành nghiên cứu viên, giảng viên cao cấp hoặc nhà quản lý trong lĩnh vực."
VIII,6,"6. Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp
Sau khi hoàn thành chương trình và nhận bằng Cử nhân ngành Công nghệ kỹ thuật cơ điện tử, các tân cử nhân có nền tảng vững chắc để tiếp tục con đường học tập và nâng cao trình độ chuyên môn. Họ có thể theo học các chương trình đào tạo sau đại học như Thạc sĩ, Tiến sĩ thuộc các chuyên ngành trong lĩnh vực Công nghệ Cơ điện tử, Tự động hóa, Cơ kỹ thuật tại các cơ sở đào tạo uy tín trong nước và quốc tế. Bên cạnh đó, họ cũng có thể lựa chọn hướng nghiên cứu triển khai các ứng dụng thực tế của ngành công nghệ kỹ thuật cơ điện tử để đóng góp vào sự phát triển của khoa học và công nghệ."
VIII,7,"7. Tóm tắt yêu cầu chương trình đào tạo (Khối lượng kiến thức)
Chương trình đào tạo Cử nhân ngành Công nghệ kỹ thuật cơ điện tử có tổng cộng 135 tín chỉ chuyên môn, không bao gồm các học phần điều kiện tốt nghiệp quan trọng như Giáo dục thể chất, Giáo dục Quốc phòng – An ninh và Kỹ năng bổ trợ. Cấu trúc tín chỉ của chương trình được phân bổ thành các khối kiến thức chính: Khối kiến thức chung chiếm 26 tín chỉ, tập trung cung cấp nền tảng về lý luận chính trị, pháp luật, ngoại ngữ và tin học cơ bản; tiếp đó là Khối kiến thức chung theo lĩnh vực với 19 tín chỉ, củng cố kiến thức toán, lý và giới thiệu kỹ năng lập trình đầu tiên. Khối kiến thức theo khối ngành gồm 06 tín chỉ, bao gồm các môn học cơ sở ngành kỹ thuật ứng dụng. Khối kiến thức theo nhóm ngành với 14 tín chỉ sẽ trang bị các kiến thức cốt lõi và nền tảng đặc thù của ngành Cơ điện tử. Phần kiến thức chuyên sâu và quan trọng nhất là Khối kiến thức ngành, với tổng cộng 70 tín chỉ; trong đó, khối này bao gồm 27 tín chỉ dành cho các học phần bắt buộc của ngành, 04 tín chỉ cho các học phần bổ trợ, và 25 tín chỉ dành cho các học phần định hướng chuyên sâu (bao gồm 19 tín chỉ bắt buộc và 06 tín chỉ tự chọn theo định hướng). Cuối cùng, chương trình dành 07 tín chỉ cho thực tập và 07 tín chỉ cho Khóa luận tốt nghiệp hoặc các học phần thay thế tương đương."
IX,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Kỹ thuật điều khiển và Tự động hóa (tên tiếng Anh: Control Engineering and Automation), có mã số ngành là 7520216. Chương trình này được thiết kế với thời gian đào tạo chuẩn là 4,5 năm, và sinh viên sau khi hoàn thành sẽ được cấp danh hiệu Kỹ sư. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Kỹ sư ngành Kỹ thuật điều khiển và Tự động hóa"" và bằng tiếng Anh là ""The Degree of Engineer in Control Engineering and Automation""."
IX,2,"2. Mục tiêu của chương trình đào tạo
Chương trình đào tạo kỹ sư ngành Kỹ thuật điều khiển và Tự động hóa đặt mục tiêu chung là đào tạo ra những kỹ sư có kiến thức chuyên môn toàn diện, sở hữu kỹ năng thực hành cơ bản vững chắc, cùng với khả năng làm việc độc lập, sáng tạo và năng lực giải quyết hiệu quả những vấn đề phức tạp thuộc ngành Kỹ thuật điều khiển và Tự động hóa. Về mục tiêu cụ thể, chương trình hướng đến việc sinh viên có khả năng vận dụng các kiến thức và kỹ năng đã học vào nghề nghiệp để giải quyết những vấn đề phức tạp và đề xuất các giải pháp hiệu quả (PO1); hình thành được năng lực tự học, tự nghiên cứu để nâng cao trình độ chuyên môn và nghiệp vụ, phù hợp với môi trường làm việc năng động và có thể tiếp tục học ở trình độ cao hơn nhằm thích ứng với sự biến đổi không ngừng của xã hội (PO2). Bên cạnh đó, sinh viên sẽ thể hiện khả năng làm việc độc lập cũng như các kỹ năng giao tiếp và làm việc nhóm hiệu quả ngay cả trong môi trường có áp lực cao (PO3); có trình độ ngoại ngữ và công nghệ thông tin tốt, sẵn sàng cho quá trình hội nhập quốc tế trong công việc và nghiên cứu (PO4); và cuối cùng là thể hiện được hành vi, thái độ, tác phong làm việc chuyên nghiệp, có đạo đức nghề nghiệp, ý thức trách nhiệm xã hội và tinh thần tuân thủ pháp luật (PO5)."
IX,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Kỹ sư Kỹ thuật điều khiển và Tự động hóa được thực hiện theo đúng các Quy chế và Quy định về công tác tuyển sinh đại học được ban hành hàng năm của Bộ Giáo dục và Đào tạo. Quá trình này cũng tuân thủ chặt chẽ các hướng dẫn cụ thể của Đại học Quốc gia Hà Nội và nội dung chi tiết trong Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố chính thức mỗi năm."
